,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status
210,s22,8539.0,732.0,1463.0,,,,1464.0,partial_success
211,s22,8051.0,731.0,1708.0,2197.0,732.0,975.0,1708.0,success
212,s23,8295.0,1220.0,1952.0,1220.0,1952.0,975.0,976.0,success
213,s23,8782.0,976.0,2195.0,1464.0,1952.0,976.0,1219.0,success
214,s23,8295.0,1221.0,1951.0,1464.0,1708.0,976.0,975.0,success
215,s23,8539.0,975.0,1952.0,1220.0,1952.0,976.0,1464.0,success
216,s23,8539.0,1220.0,1952.0,1219.0,1708.0,1220.0,1220.0,success
217,s23,8051.0,1220.0,1952.0,732.0,2196.0,732.0,1219.0,success
218,s23,8051.0,1220.0,1952.0,976.0,1951.0,733.0,1219.0,success
219,s23,8051.0,975.0,1952.0,977.0,1951.0,976.0,1220.0,success
220,s23,7807.0,975.0,1953.0,975.0,1952.0,732.0,1220.0,success
221,s23,8296.0,1220.0,1952.0,976.0,2196.0,976.0,976.0,success
222,s24,8295.0,976.0,2440.0,1220.0,1951.0,732.0,976.0,success
223,s24,,,,,,,,failure
224,s24,8050.0,1463.0,1464.0,1464.0,1708.0,976.0,975.0,success
225,s24,8051.0,1708.0,1463.0,1464.0,1709.0,731.0,976.0,success
226,s24,7807.0,1464.0,1220.0,1708.0,1464.0,975.0,976.0,success
227,s24,7806.0,1463.0,1464.0,1219.0,1953.0,732.0,975.0,success
228,s24,7808.0,976.0,1953.0,1463.0,1220.0,1220.0,976.0,success
229,s24,,,,,,,,failure
230,s24,8050.0,1463.0,1708.0,1464.0,1464.0,1219.0,732.0,success
231,s25,,,2928.0,1463.0,1709.0,,732.0,failure
232,s25,,,2196.0,1951.0,1708.0,17323.0,17810.0,failure
233,s25,,4391.0,2928.0,1952.0,1464.0,7807.0,6099.0,failure
234,s25,,,2440.0,1707.0,1953.0,4879.0,5124.0,failure
235,s25,,1953.0,2683.0,1465.0,1707.0,3903.0,6588.0,failure
236,s25,,,3416.0,1464.0,1952.0,4880.0,5367.0,failure
237,s25,,,2928.0,1708.0,1952.0,5367.0,4392.0,failure
238,s25,,,2196.0,2195.0,1220.0,6100.0,4148.0,failure
239,s25,,,3172.0,976.0,1952.0,6587.0,2441.0,failure
240,s25,,,3416.0,1464.0,1708.0,3660.0,11711.0,failure
241,s26,,,,,,,,failure
242,s26,9027.0,731.0,2928.0,976.0,2684.0,732.0,976.0,success
243,s26,8782.0,731.0,2440.0,976.0,2440.0,1219.0,976.0,success
244,s26,7807.0,977.0,2195.0,976.0,1952.0,732.0,975.0,success
245,s26,7807.0,976.0,2196.0,1220.0,1707.0,977.0,731.0,success
246,s26,8051.0,733.0,2439.0,976.0,1952.0,732.0,1219.0,success
247,s26,7807.0,976.0,1951.0,1221.0,1952.0,732.0,975.0,success
248,s26,7808.0,977.0,2195.0,733.0,2195.0,732.0,976.0,success
249,s26,7807.0,732.0,1952.0,732.0,2440.0,975.0,976.0,success
250,s26,7807.0,1219.0,1952.0,976.0,2196.0,732.0,732.0,success
251,s27,8783.0,1220.0,2196.0,1219.0,1952.0,1220.0,976.0,success
252,s27,8538.0,975.0,1709.0,1463.0,2196.0,1219.0,976.0,success
253,s27,8783.0,1220.0,1708.0,1463.0,2196.0,1219.0,977.0,success
254,s27,9026.0,1219.0,1708.0,1707.0,1952.0,1220.0,1220.0,success
